Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,30,30,30,-10,-10,30
2,30,-10,-10,-10,-10,-10
3,40,40,-20,30,-10,30
4,-10,40,-10,40,-10,-10
5,-20,-10,-20,-10,40,-10
6,40,40,50,-20,-20,-10
7,-20,-10,-10,-10,-10,-10
8,-10,-20,-20,50,-10,-30
9,-20,-10,-40,-20,50,60
10,-10,-10,-20,-20,-30,70
11,50,-20,-20,60,-10,-20
12,-20,-10,-40,-20,-30,-20
13,70,-30,-20,70,-10,-30
14,90,-30,-40,-10,-10,-20
15,-10,-20,-10,90,-30,-20
16,-10,-50,90,110,-10,-10
17,-70,-60,-30,90,-20,-60
18,-10,-30,-20,90,-40,-10
19,-20,-20,-50,-30,-20,-60
20,-10,-30,-30,-30,-10,90
