Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,20,30,20,-10,-10,30
2,-10,-10,-10,-10,30,30
3,30,30,-10,-10,30,-10
4,30,-20,-10,-10,-10,-20
5,-20,-20,-10,-10,40,-10
6,-20,-20,-20,-40,-10,-10
7,-10,40,-20,-20,-20,-10
8,50,-10,-10,60,50,-10
9,-20,-30,-20,-20,-20,70
10,-30,-30,-20,-30,-40,-30
11,-10,50,70,-20,-10,-20
12,-20,-20,-30,-10,-40,-10
13,-20,-10,50,-10,90,-10
14,-10,-50,-20,-10,-50,-10
15,-50,-40,-20,-20,0,-40
16,-30,-20,-50,-60,0,-30
17,-70,-30,-20,-40,0,-30
