Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,-10,30,30,-10,-10
2,-10,40,40,40,-10,-10
3,30,-20,-20,40,-10,-10
4,40,-10,-10,-20,-10,-20
5,40,-10,-20,-10,-20,-10
6,-30,-20,-10,40,-20,-10
7,-20,-10,-10,-30,-20,40
8,-20,-10,-10,-10,60,-10
9,-30,70,-20,60,-30,-20
10,-30,-40,-40,-40,-20,-30
11,-20,-50,-30,-20,-10,60
12,70,-30,-10,-30,-20,-10
13,-10,-20,-40,-20,-30,-10
14,-50,-20,-10,-50,-20,-30
15,-10,-30,-30,-30,-20,-30
16,-40,-10,-60,-10,-30,-10
17,-20,-10,-20,-80,-50,-50
18,-10,-20,-30,-30,-30,-60
19,-30,-10,-40,-30,-30,-20
20,-30,-30,-30,-40,-30,-20
