Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,30,-10,20,-10,-10
2,-10,20,-10,20,30,-10
3,-10,-10,40,-10,-10,-10
4,40,-10,-20,-10,-10,-10
5,-10,-10,-10,-20,40,-20
6,50,-10,-30,40,-10,-10
7,50,50,-10,-20,-20,-10
8,-10,40,-10,-20,-50,-20
9,-20,-10,-30,-10,-10,-10
10,50,-10,-10,-10,-10,-30
11,60,60,-20,-20,-20,-30
12,-10,-20,-20,-40,-10,-10
13,-20,0,-20,0,-40,-40
14,-30,0,-20,0,-10,0
15,-10,0,70,0,-10,0
16,-30,0,-20,0,-20,0
17,-20,0,-20,0,-10,0
18,0,0,-40,0,-50,0
