Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,20,30,30,20,20
2,-20,40,-10,40,20,-10
3,-10,40,-30,40,-10,30
4,-10,30,-10,-20,30,-20
5,-10,-10,-20,-10,30,30
6,-20,-10,-10,40,-20,-10
7,-10,-20,-10,-20,-20,40
8,-30,-30,-10,40,-40,50
9,-10,-20,-20,-10,50,50
10,-10,-60,-30,-20,50,-20
11,50,-20,-30,-10,0,-20
12,-20,60,70,-10,0,60
13,-40,-10,-30,-30,0,-20
14,-30,-20,-20,50,0,-10
15,-20,0,60,-10,0,-40
16,-20,0,0,70,0,0
17,-20,0,0,70,0,0
18,-50,0,0,80,0,0
19,0,0,0,90,0,0
