Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,30,30,30,20,30,30
2,30,30,-10,20,30,-10
3,-10,30,-10,20,-10,30
4,30,-10,-10,-10,-20,-10
5,-10,-20,-20,30,-10,-10
6,40,-10,-20,-30,-30,-20
7,-10,-10,-20,-20,40,-10
8,-20,40,-10,-10,-30,-20
9,-30,-10,-40,-30,-10,-10
10,-10,60,-10,50,-20,-30
11,-10,-40,-10,-30,-10,-20
12,-20,-10,-10,-20,-40,-10
13,-40,-20,-30,-10,-30,-40
14,90,-10,-20,-10,-20,-20
15,-30,70,-40,-20,60,-30
16,-60,60,-20,-60,-30,70
17,-40,-10,-20,-10,100,-10
18,100,-10,-40,-50,-30,-50
19,90,-10,-10,-40,-10,70
20,-20,-40,-40,-10,-10,-30
