Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,20,30,20,20,-10,30
2,20,-10,-10,30,30,30
3,30,-10,-10,-10,-10,-10
4,-20,-20,30,-10,-10,-20
5,30,-20,-20,-20,40,40
6,-10,-20,-20,-30,-10,-20
7,-10,-30,-10,50,-10,-10
8,50,50,-20,-20,50,-20
9,-10,-20,-10,-20,40,60
10,-20,-10,-40,50,-20,-10
11,-10,-20,-30,-40,-50,-30
12,-10,50,-20,-30,-20,-10
13,-10,70,-10,-10,-40,-20
14,-20,60,-20,-40,-50,-10
15,-20,-70,-10,70,-20,-20
16,-10,-30,-30,-60,-20,-20
17,-20,-20,-40,-20,-70,-20
