Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,-10,30,30,-10,-10
2,-10,-10,-10,-10,20,-10
3,-10,-20,-20,-10,20,30
4,30,-10,-10,-20,30,-20
5,40,-10,40,-10,30,-10
6,-20,-20,-10,-10,-20,-10
7,-10,-20,-10,-30,-20,50
8,40,-20,-10,-20,-40,60
9,-30,-10,-20,-30,-20,-30
10,40,-50,-20,-20,-10,-30
11,-10,-30,-20,50,-10,-10
12,-30,-30,-30,-40,-20,-10
13,-40,-10,-60,-30,70,-50
14,-20,-30,-20,-20,-20,-40
15,-20,-10,-10,-10,-20,-70
16,-10,-20,-20,-10,70,-20
17,-20,70,80,-30,-10,-30
18,-40,-60,-20,-20,-10,-40
19,-40,-10,-40,-20,-40,90
20,-80,90,-50,-10,-80,-20
