Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,30,-10,20,-10,-10
10,-30,-20,-20,0,-30,60
11,-10,-10,60,0,-20,-40
12,-10,-20,-20,0,-30,-30
13,0,-30,-30,0,-40,-10
14,0,-10,-20,0,-20,-10
15,0,-40,-10,0,-10,-10
16,0,0,-10,0,0,-10
17,0,0,-70,0,0,70
18,0,0,0,0,0,-40
19,0,0,0,0,0,-60
2,30,-10,-10,-10,-10,-10
20,0,0,0,0,0,0
3,-10,30,-10,-10,30,-10
4,40,40,-10,-10,40,-20
5,-20,-20,-20,-10,-20,-20
6,-10,-10,50,-30,-20,50
7,-10,50,-20,-10,-10,-20
8,-20,-10,50,40,-30,-30
9,-20,-10,-20,-10,-20,50
