Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,20,30,30,20,20
10,0,0,-20,-20,60,-10
11,0,0,-40,-30,-10,60
12,0,0,-30,-10,70,-20
13,0,0,-40,-20,70,-10
14,0,0,-20,-30,-10,70
15,0,0,-10,-20,-10,-50
16,0,0,-30,90,80,120
17,0,0,-60,0,-50,-60
18,0,0,-30,0,-40,0
19,0,0,-50,0,-30,0
2,-10,40,-10,40,-10,-10
20,0,0,-60,0,0,0
3,-10,-10,-20,40,30,30
4,-10,0,-10,-10,-10,-20
5,-10,0,40,40,40,-10
6,-10,0,-10,40,-20,-10
7,-20,0,40,-20,40,-10
8,-20,0,-10,-20,-10,50
9,-20,0,-30,-10,-10,-20
