Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,30,-10,20,-10,-10
2,-10,20,-10,20,40,-10
3,-20,-10,-10,20,-10,-10
4,30,30,-20,30,-10,20
5,30,-10,-10,-10,-10,-10
6,40,-10,-30,-40,-10,-20
7,-10,0,-20,30,30,-10
8,-10,0,50,-10,-50,40
9,-10,0,-20,40,-10,-10
10,-10,0,-20,50,-20,-20
11,-10,0,-30,-40,-40,-20
12,-10,0,50,-30,-10,-10
13,-10,0,-20,-10,-60,-30
14,-30,0,-10,-50,-20,-30
15,-30,0,-20,-30,60,-20
16,-60,0,-30,-50,-20,70
17,-10,0,-10,-20,-30,-20
18,-50,0,-40,-60,-80,-30
19,0,0,-10,-10,-20,60
