Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,20,-10,20,20,20,30
2,20,20,20,30,30,-10
3,-10,-10,-10,30,30,-10
4,30,-30,-10,40,30,-20
5,-10,30,-10,40,30,-30
6,-20,30,-10,-30,-20,-20
7,-10,-20,-10,-10,40,-20
8,-20,40,40,-10,-10,-10
9,-10,-50,-10,-20,-10,50
10,-30,50,-40,40,-20,-20
11,-10,-30,60,-10,-50,-10
12,-10,-10,-20,-70,-20,50
13,-10,-30,-10,50,-40,-10
14,50,50,-20,-50,-10,50
15,-10,-60,-20,-10,-30,-20
16,-10,-20,-10,-20,-40,-20
17,-20,-70,-50,-10,60,-10
