Round,episode_0 Points,episode_1 Points,episode_2 Points,episode_3 Points,episode_4 Points,episode_5 Points
1,-10,20,30,30,20,20
2,-20,40,-10,40,20,-10
3,20,-10,-30,40,20,30
4,30,-10,30,-10,30,-20
5,-10,-20,-10,30,30,30
6,-10,-20,-10,-10,-10,-20
7,-10,-20,-10,-20,-20,-10
8,-10,-20,-10,-10,-50,40
9,-20,-10,-20,-30,-30,-20
10,40,-20,40,-20,-20,-40
11,-20,-10,-30,-10,-20,-30
12,-10,-30,-20,-10,-10,-40
13,-50,50,-10,-30,-40,-20
14,50,-10,-10,-10,-10,0
15,-30,50,-30,-30,60,0
16,-30,-20,-20,-20,60,0
17,-20,-10,-10,-10,-30,0
18,-40,-40,-90,-20,-10,0
19,-10,-50,-10,-10,-20,0
20,-20,-40,70,-10,-60,0
