,game,model,experiment,episode,metric,value
0,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Aborted,1.0
1,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Request Count,155.0
2,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Parsed Request Count,130.0
3,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Violated Request Count,25.0
4,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Request Success Ratio,0.8387096774193549
5,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Lose,1.0
6,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Success,0.0
7,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,Main Score,0.0
8,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Aborted,0.0
9,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Request Count,196.0
10,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Parsed Request Count,170.0
11,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Violated Request Count,26.0
12,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Request Success Ratio,0.8673469387755102
13,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Lose,0.0
14,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Success,1.0
15,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,Main Score,39.411764705882355
16,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,Aborted,0.0
17,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,Request Count,201.0
18,wizardsapprentice,Meta-Llama-3-70B-Instruct-Lite-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,Parsed Request Count,170.0
