game,model,experiment,episode,metric,value
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Aborted,0.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Request Count,60.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Parsed Request Count,54.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Violated Request Count,6.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Request Success Ratio,0.9
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Lose,0.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Success,1.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_0,Main Score,39.81481481481482
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Aborted,0.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Request Count,56.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Parsed Request Count,54.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Violated Request Count,2.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Request Success Ratio,0.9642857142857143
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Lose,0.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Success,1.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_5,Main Score,50.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_4,Aborted,0.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_4,Request Count,61.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_4,Parsed Request Count,54.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_4,Violated Request Count,7.0
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_4,Request Success Ratio,0.8852459016393442
wizardsapprentice,Qwen2-72B-Instruct-t0.0--custom-t0.0--custom-t0.0,9_short_pos3_hard,episode_4,Lose,0.0
