game,model,experiment,episode,round,predictions,tricks_per_player,points
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,1,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,3,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,4,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,6,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,7,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,8,3,6,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,9,4,2,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,10,3,6,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,11,4,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,12,4,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_0,13,3,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,1,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,2,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,3,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,4,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,5,3,2,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,6,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,7,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,8,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,9,4,2,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,10,3,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,11,5,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,12,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,13,4,5,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,14,5,2,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,15,5,3,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_2,16,5,3,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,1,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,3,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,4,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,5,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,6,2,6,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,7,3,4,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,8,4,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,9,3,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_3,10,5,2,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,1,0,0,20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,3,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,4,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,5,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,6,2,5,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,7,2,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,8,3,3,50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,9,3,3,50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,10,3,0,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,11,3,8,-50
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,12,5,3,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,13,5,6,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,14,5,5,70
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,15,7,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_4,16,3,1,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,1,0,1,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,2,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,3,1,3,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,4,2,4,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,5,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,6,2,0,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,7,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,8,2,2,40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,9,3,7,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,10,4,4,60
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,11,7,3,-40
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_1,12,4,2,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,1,1,1,30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,2,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,3,1,0,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,4,1,4,-30
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,5,2,3,-10
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,6,3,5,-20
wizardsapprentice,Mistral-Nemo-t0.0--custom-t0.0--custom-t0.0,1_full_no_special_cards,episode_5,7,2,1,-10
